kdkec,status
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
010,OPEN
